tipo_crime,bairro,descricao_modus_operandi,arma_utilizada,quantidade_vitimas,quantidade_suspeitos,idade_suspeito,cluster,status_binario,status_investigacao
Sequestro,Imbiribeira,Golpe Telefônico,Faca,2,0,53,6,1,Concluído
Homicídio,Boa Viagem,Fraude Online,Objeto Contundente,4,1,29,8,0,Arquivado
Furto,Santo Amaro,Invasão Residencial,Nenhum,1,4,65,2,0,Arquivado
Roubo,Afogados,Arrombamento,Nenhum,1,4,30,5,1,Concluído
Roubo,Tamarineira,Estupro Coletivo,Arma de Fogo,3,3,20,7,1,Concluído
Sequestro,Boa Viagem,Estelionato Bancário,Explosivos,1,2,24,8,0,Arquivado
Latrocínio,Tamarineira,Golpe Telefônico,Faca,3,2,14,7,0,Arquivado
Ameaça,Torre,Emboscada,Faca,0,0,48,4,0,Arquivado
Furto,Boa Viagem,Estelionato Bancário,Objeto Contundente,1,4,62,8,0,Arquivado
Estupro,Tamarineira,Estelionato Bancário,Faca,2,1,47,7,0,Arquivado
Violência Doméstica,Tamarineira,Invasão Residencial,Explosivos,1,4,53,7,1,Concluído
Violência Doméstica,Boa Viagem,Assalto a Mão Armada,Objeto Contundente,3,3,24,8,0,Arquivado
Tráfico de Drogas,Boa Viagem,Assalto a Mão Armada,Explosivos,3,0,41,8,0,Arquivado
Violência Doméstica,Tamarineira,Uso de Arma de Fogo,Arma de Fogo,3,2,45,7,1,Concluído
Estelionato,Afogados,Arrombamento,Explosivos,1,4,35,5,1,Concluído
Furto,Espinheiro,Fraude Online,Arma de Fogo,4,1,56,3,1,Concluído
Violência Doméstica,Tamarineira,Estelionato Bancário,Faca,2,4,18,7,0,Arquivado
Furto,Afogados,Crime Cibernético,Faca,1,1,56,5,1,Concluído
Estelionato,Tamarineira,Invasão Residencial,Objeto Contundente,1,2,51,7,1,Concluído
Violência Doméstica,Boa Viagem,Estelionato Bancário,Faca,4,2,44,8,0,Arquivado
Violência Doméstica,Torre,Crime Cibernético,Explosivos,1,0,30,4,1,Concluído
Furto,Espinheiro,Arrombamento,Arma de Fogo,4,4,34,3,0,Arquivado
Ameaça,Boa Viagem,Invasão Residencial,Faca,4,4,32,8,1,Concluído
Roubo,Espinheiro,Invasão Residencial,Objeto Contundente,4,4,55,3,0,Arquivado
Ameaça,Pina,Crime Cibernético,Nenhum,1,3,18,0,1,Concluído
Homicídio,Afogados,Invasão Residencial,Objeto Contundente,1,3,38,5,1,Concluído
Estelionato,Pina,Uso de Arma de Fogo,Objeto Contundente,1,4,49,0,0,Arquivado
Roubo,Espinheiro,Golpe Telefônico,Faca,0,2,24,3,0,Arquivado
Ameaça,Afogados,Uso de Arma de Fogo,Explosivos,2,4,24,5,1,Concluído
Ameaça,Casa Forte,Crime Cibernético,Arma de Fogo,0,2,56,2,0,Arquivado
Latrocínio,Tamarineira,Estelionato Bancário,Faca,4,4,62,7,1,Concluído
Latrocínio,Torre,Assalto a Mão Armada,Arma de Fogo,4,1,39,4,1,Concluído
Violência Doméstica,Pina,Golpe Telefônico,Objeto Contundente,2,0,58,0,1,Concluído
Tráfico de Drogas,Imbiribeira,Estupro Coletivo,Explosivos,1,4,34,6,1,Concluído
Homicídio,Imbiribeira,Golpe Telefônico,Explosivos,3,0,54,6,0,Arquivado
Estelionato,Santo Amaro,Estupro Coletivo,Arma de Fogo,0,4,34,2,1,Concluído
Homicídio,Graças,Invasão Residencial,Explosivos,4,2,35,1,1,Concluído
Estupro,Santo Amaro,Estelionato Bancário,Nenhum,3,4,20,2,0,Arquivado
Roubo,Graças,Fraude Online,Objeto Contundente,3,3,50,1,0,Arquivado
Furto,Pina,Uso de Arma de Fogo,Arma de Fogo,0,3,22,0,1,Concluído
Ameaça,Tamarineira,Assalto a Mão Armada,Nenhum,3,3,45,7,1,Concluído
Estupro,Casa Forte,Emboscada,Explosivos,2,0,41,2,1,Concluído
Estupro,Pina,Emboscada,Arma de Fogo,3,0,52,0,0,Arquivado
Violência Doméstica,Casa Forte,Crime Cibernético,Nenhum,2,0,66,2,0,Arquivado
Latrocínio,Afogados,Estelionato Bancário,Nenhum,1,2,38,5,0,Arquivado
Homicídio,Tamarineira,Fraude Online,Explosivos,4,3,60,7,0,Arquivado
Furto,Tamarineira,Estelionato Bancário,Nenhum,3,0,39,7,1,Concluído
Estupro,Santo Amaro,Arrombamento,Nenhum,3,2,19,2,1,Concluído
Violência Doméstica,Afogados,Crime Cibernético,Nenhum,3,1,32,5,0,Arquivado
Latrocínio,Torre,Emboscada,Nenhum,2,2,46,4,0,Arquivado
Violência Doméstica,Imbiribeira,Fraude Online,Objeto Contundente,1,4,66,6,1,Concluído
Roubo,Torre,Fraude Online,Explosivos,3,4,56,4,0,Arquivado
Roubo,Tamarineira,Invasão Residencial,Objeto Contundente,2,0,28,7,1,Concluído
Violência Doméstica,Pina,Assalto a Mão Armada,Faca,1,3,42,0,1,Concluído
Ameaça,Pina,Emboscada,Nenhum,4,1,41,0,1,Concluído
Tráfico de Drogas,Torre,Crime Cibernético,Faca,0,4,67,4,0,Arquivado
Homicídio,Tamarineira,Golpe Telefônico,Faca,1,3,47,7,1,Concluído
Estelionato,Tamarineira,Crime Cibernético,Faca,4,1,20,7,1,Concluído
Ameaça,Graças,Arrombamento,Faca,0,2,62,1,0,Arquivado
Roubo,Santo Amaro,Assalto a Mão Armada,Nenhum,2,4,21,2,0,Arquivado
Homicídio,Casa Forte,Invasão Residencial,Nenhum,2,0,34,2,1,Concluído
Ameaça,Graças,Assalto a Mão Armada,Arma de Fogo,2,0,31,1,0,Arquivado
Homicídio,Santo Amaro,Fraude Online,Objeto Contundente,0,4,26,2,1,Concluído
Tráfico de Drogas,Torre,Golpe Telefônico,Faca,2,2,20,4,0,Arquivado
Violência Doméstica,Boa Viagem,Assalto a Mão Armada,Nenhum,3,3,17,8,1,Concluído
Sequestro,Graças,Crime Cibernético,Arma de Fogo,2,4,45,1,0,Arquivado
Furto,Tamarineira,Invasão Residencial,Arma de Fogo,3,2,31,7,1,Concluído
Sequestro,Torre,Fraude Online,Nenhum,4,4,45,4,0,Arquivado
Estupro,Torre,Emboscada,Objeto Contundente,0,0,63,4,1,Concluído
Estelionato,Espinheiro,Golpe Telefônico,Objeto Contundente,4,3,60,3,1,Concluído
Violência Doméstica,Boa Viagem,Estupro Coletivo,Faca,3,1,28,8,0,Arquivado
Ameaça,Boa Viagem,Estupro Coletivo,Arma de Fogo,4,0,66,8,0,Arquivado
Tráfico de Drogas,Santo Amaro,Estelionato Bancário,Faca,2,2,66,2,1,Concluído
Tráfico de Drogas,Tamarineira,Invasão Residencial,Explosivos,1,1,60,7,1,Concluído
Violência Doméstica,Espinheiro,Crime Cibernético,Arma de Fogo,3,2,31,3,1,Concluído
Violência Doméstica,Casa Forte,Fraude Online,Arma de Fogo,0,4,15,2,1,Concluído
Estupro,Tamarineira,Assalto a Mão Armada,Arma de Fogo,4,3,38,7,0,Arquivado
Roubo,Boa Viagem,Crime Cibernético,Explosivos,0,3,38,8,1,Concluído
Tráfico de Drogas,Graças,Uso de Arma de Fogo,Nenhum,2,4,26,1,1,Concluído
Roubo,Pina,Arrombamento,Objeto Contundente,4,0,31,0,0,Arquivado
